image_ssd,label_binary_dice,label_tre,pair_index,label_index
0.0011395664187148213,,,"[10, 5, 10, 0]",-1
0.00018651635036803782,,,"[20, 2, 20, 1]",-1
0.0006763921701349318,,,"[18, 0, 18, 1]",-1
0.0008133668452501297,,,"[6, 4, 6, 1]",-1
9.785320435184985e-05,,,"[0, 1, 0, 0]",-1
0.0002605438930913806,,,"[19, 1, 19, 0]",-1
3.919934169971384e-05,,,"[11, 0, 11, 1]",-1
0.0002471426560077816,,,"[2, 1, 2, 0]",-1
0.0007793339900672436,,,"[3, 5, 3, 3]",-1
1.922255614772439e-05,,,"[9, 0, 9, 1]",-1
0.00013157464854884893,,,"[5, 1, 5, 4]",-1
8.457835792796686e-05,,,"[7, 0, 7, 1]",-1
6.823564763180912e-05,,,"[4, 2, 4, 4]",-1
7.809855742380023e-05,,,"[17, 1, 17, 0]",-1
7.624464342370629e-05,,,"[14, 1, 14, 0]",-1
5.663289994117804e-05,,,"[21, 2, 21, 0]",-1
4.3758584070019424e-05,,,"[15, 1, 15, 0]",-1
9.785320435184985e-05,,,"[16, 1, 16, 0]",-1
0.00023113300267141312,,,"[8, 2, 8, 0]",-1
6.744579877704382e-05,,,"[1, 0, 1, 1]",-1
5.8205936511512846e-05,,,"[13, 1, 13, 0]",-1
0.0002985154278576374,,,"[12, 0, 12, 1]",-1
